prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
000svvhjew,,,,,,,popza01,20185,647315,11183,,12108
015g5gcvlr,,,,,,,nicolky01,27775,693312,11869,,60341
02vlgbhh3r,,,,,,,baldwdr01,31539,686948,12203,baldwdr01,60077
03bl1hngvw,,,,,,,sweetde01,25348,682967,11828,,61836
0492enhc4d,,,,,,,gilbrlu01,21290,656458,11177,,12103
04tb2mnv00,,,,,,,vientma01,22184,668901,10282,vientma01,10922
05811gffwh,,,,,,,martest01,9241,516782,7736,martest01,9118
05tt9hm92w,,,,,,,montafr02,14309,593423,9103,montafr02,10027
06bz39jtdr,,,,,,,stephtr01,19932,663986,11194,stephtr01,11357
06zl3y3q9d,,,,,,,valerge01,22541,671655,10205,valerge01,11298
07hcbld48d,,,,,,,lodolni01,26378,666157,10964,lodolni01,11750
07ytnfhm9d,,,,,,,grayjo03,24580,680686,10259,grayjo03,11480
08wv6yyerm,,,,,,,adamja01,11861,592094,10025,adamja01,11009
09c13ce6m8,,,,,,,lowderh01,33876,695076,11933,lowderh01,62977
09s0gxm8y0,,,,,,,richatr01,19309,670950,9951,richatr01,10988
0c78jp1njh,,,,,,,urquijo01,18413,664353,10645,urquijo01,11608
0dr7p5djbr,,,,,,,raineta01,17610,663432,10020,raineta01,10989
0e08y8503m,,,,,,,pederjo01,11899,592626,8688,pederjo01,9414
0evxssp0ew,,,,,,,penroza01,25368,683068,12184,,63330
0fkschh9hr,,,,,,,cruzst01,23165,674444,11852,,60570
0fqwpk88q0,,,,,,,glasnty01,14374,607192,8700,glasnty01,9616
0g8dednxcw,,,,,,,maldoma01,6887,455117,8159,maldoma01,9045
0h8pkhx25w,,,,,,,duranja01,24617,680776,10824,duranja01,11735
0hc0j661xw,,,,,,,mercami01,23223,675650,11962,mercami01,11546
0hl71p64rw,,,,,,,buttojo01,23313,676130,11400,buttojo01,12337
0jtfbksky4,,,,,,,kreidry01,25867,668952,11324,kreidry01,12428
0jy7pjedpd,,,,,,,robbese01,sa3011735,691828,11976,robbese01,12571
0kqb4s0qbm,,,,,,,aldegsa01,26443,691951,12170,,63620
0kz9s3m1ew,,,,,,,casteni01,11737,592206,8221,casteni01,9108
0kzrvtdyjr,,,,,,,fraziad01,15223,624428,9387,fraziad01,10322
0lmr7qkmfd,,,,,,,swanser01,16587,657024,10449,swanser01,11236
0lqfwsdh4w,,,,,,,thorntr01,17948,663423,10494,thorntr01,11247
0m24y75cmm,,,,,,,alexabl01,23789,677942,10142,alexabl01,11415
0mg5h79vw0,,,,,,,corteca01,21842,666126,12427,,12488
0mm3zgzsk4,,,,,,,biggica01,19252,624415,10160,biggica01,11086
0nfedq762h,,,,,,,matonni01,21635,665155,11016,matonni01,11814
0p76sd3p2r,,,,,,,steveca01,22411,670276,10383,steveca01,12668
0qnhprcy74,,,,,,,houckta01,19879,656557,11068,houckta01,10852
0r5rlppgn0,,,,,,,moncayo01,17232,660162,8979,moncayo01,9900
0t37tekg9m,,,,,,,espadjo01,21131,664744,11878,,62403
